teaching_point_num,teaching_point_ar,teaching_point_en,bloom_level
1.1.1,يشرح تحديات التعلم في ظل معدل النمو الهائل للتقدم البشري ( مسالة فجوة التعلم),Explain the challenge of Human Progress Exponential growth (Learning GAP issue),UNDERSTAND
1.1.2,يشرح مفهوم العقل الضيق,"Explain the concept of ""narrow mind""",UNDERSTAND
2.1.1,يصف خصائص الخرائط العسكرية,Describe military maps characteristics, UNDERSTAND
3.7.1,يتعرف على مصادر قانون النزاعات المسلحة,Identify the sources of LOAC,REMEMBER
4.31.1,يصف الهيكل التنظيمي للقوات الجوية والدفاع الجوي,Describe AFAD organization structure,UNDERSTAND
4.31.2,يصف قدرات وأصول القوات الجوية والدفاع الجوي,Describe AFAD capabilities and assets,UNDERSTAND
4.19.1,يشرح سلطات القيادة والسيطرة,Explain command authorities.,UNDERSTAND
4.23.1,يناقش خصائص أنظمة السيطرة الجوية على عمليات المسرح,Discuss TACS characteristics,UNDERSTAND
4.6.4,يوضح قدرات العمليات الجوية المضادة بالقوات الجوية والدفاع الجوي,Demonstrate the UAE AFAD Counterair capabilities,APPLY
5.7.1,يصف الهيكل التنظيمي للقيادة والسيطرة في الدفاع الجوي والصاروخي بالقوات الجوية والدفاع الجوي,Describe C2 structure in AFAD AMD.,UNDERSTAND
5.7.2,يعرف علاقات القيادة والسيطرة في الدفاع الجوي والصاروخي بالقوات الجوية والدفاع الجوي,Define AMD C2 relationships in AFAD.,REMEMBER
5.7.3,يعرف مسؤوليات القيادة والسيطرة في الدفاع الجوي والصاروخي بالقوات الجوية والدفاع الجوي,Define AMD C2 responsibilities in AFAD.,REMEMBER
5.7.4,يشرح إجراءات القيادة والسيطرة في الدفاع الجوي والصاروخي بالقوات الجوية والدفاع الجوي,Explain C2 procedures in AMD.,UNDERSTAND
6.7.1,يصنف عناصر خطة العمليات الجوية المشتركة,Classify JAOP elements.,UNDERSTAND
6.7.2,يتعرف على خطة الدفاع الجوي,Identify Air Defence Plan (ADP).,REMEMBER
6.7.3,يتعرف على خطة السيطرة على المجال الجوي,Identify Airspace Coordination Plan (ACP).,REMEMBER
6.7.4,ينفذ عملية التقدير الجوي المشترك,Execute the Joint Air Estimate process,APPLY
7.12.2,يصف جدول التنقل العسكري,Describe the table of Military Movement,UNDERSTAND
7.12.3,يطبق التنقل العسكري,Apply Military Movement,APPLY
7.13.1,يصف اجراءات حساب قدرات التدمير لأنظمة لدفاع الجوي والصاروخي,Describe AMD systems calculations of destructions procedures,UNDERSTAND
7.13.2,يشرح صيغ حساب قدرات التدمير لأنظمة الدفاع الجوي والصاروخي,Explain AMD systems calculations of destructions formulas,UNDERSTAND
7.13.3,يطبق حسابات التدمير لأنظمة الدفاع الجوي والصاروخي,Apply AMD systems calculations of destructions,APPLY
